,alcohol,volatile acidity,total sulfur dioxide,citric acid,quality
696,9.5,0.65,25.0,0.02,6
697,9.5,0.65,25.0,0.02,6
698,9.7,0.615,72.0,0.28,5
699,10.8,0.38,19.0,0.55,6
700,10.1,1.02,88.0,0.43,6
701,9.5,0.65,25.0,0.02,6
702,9.4,0.64,23.0,0.02,6
703,9.6,0.38,84.0,0.48,4
704,9.7,0.765,14.0,0.04,4
705,9.9,1.035,54.0,0.15,5
706,10.0,0.78,19.0,0.08,5
707,10.5,0.49,37.0,0.19,5
708,11.6,0.545,35.0,0.12,6
709,10.0,0.31,33.0,0.47,6
710,10.1,1.025,84.0,0.43,5
711,9.5,0.565,112.0,0.34,5
712,9.4,0.69,33.0,0.0,5
713,9.4,0.43,48.0,0.36,5
714,9.8,0.74,77.0,0.28,5
715,9.2,0.49,34.0,0.18,6
716,9.4,0.43,48.0,0.36,5
717,10.0,0.46,49.0,0.11,5
718,9.6,0.56,22.0,0.04,5
719,9.5,0.66,45.0,0.0,5
720,9.6,0.56,22.0,0.04,5
721,9.2,0.48,106.0,0.24,5
722,10.0,0.42,48.0,0.08,5
723,9.5,0.31,127.0,0.3,5
724,11.2,1.115,12.0,0.1,4
725,10.4,0.66,13.0,0.17,5
726,11.1,0.72,49.0,0.09,6
727,9.5,0.57,11.0,0.02,5
728,9.5,0.57,11.0,0.02,5
729,12.7,0.865,58.0,0.03,6
730,9.6,0.55,37.0,0.66,5
731,11.5,0.875,14.0,0.13,5
732,9.6,0.835,19.0,0.03,5
733,9.5,0.45,72.0,0.34,5
734,9.3,0.56,39.0,0.2,5
735,9.5,0.965,22.0,0.1,5
736,9.5,0.965,22.0,0.1,5
737,9.3,0.59,58.0,0.0,6
738,9.2,0.46,104.0,0.23,5
739,9.3,0.69,38.0,0.0,5
740,11.5,0.76,16.0,0.29,6
741,9.5,0.53,139.0,0.24,5
742,9.2,0.615,18.0,0.0,5
743,10.0,0.41,101.0,0.58,5
744,9.5,0.39,101.0,0.54,5
745,9.5,0.51,28.0,0.18,6
746,9.0,0.34,57.0,0.38,6
747,9.4,0.33,68.0,0.4,5
748,9.6,0.5,31.0,0.18,6
749,9.5,0.51,28.0,0.18,6
750,9.5,0.65,40.0,0.1,5
751,9.5,0.65,40.0,0.1,5
752,9.4,0.54,66.0,0.13,5
753,9.5,0.65,40.0,0.1,5
754,9.1,0.48,32.0,0.68,6
755,10.7,0.91,47.0,0.07,6
756,11.2,0.98,33.0,0.01,6
757,9.8,0.87,31.0,0.0,5
758,9.8,0.87,31.0,0.0,5
759,9.2,0.42,88.0,0.21,5
760,9.7,0.58,104.0,0.25,5
761,9.6,0.655,35.0,0.26,5
762,10.0,0.7,19.0,0.0,6
763,9.6,0.655,35.0,0.26,5
764,9.5,0.68,44.0,0.11,6
765,9.5,0.67,48.0,0.1,6
766,9.4,0.59,74.0,0.18,5
767,9.5,0.6,98.0,0.32,5
768,9.7,0.59,94.0,0.02,6
769,9.6,0.72,32.0,0.01,5
770,9.7,0.59,94.0,0.02,6
771,9.4,0.685,143.0,0.26,5
772,9.4,0.57,144.0,0.27,5
773,9.5,0.4,44.0,0.29,6
774,9.5,0.4,45.0,0.3,6
775,10.0,1.0,16.0,0.0,5
776,10.3,0.765,48.0,0.18,6
777,10.3,0.635,18.0,0.17,6
778,10.5,0.43,34.0,0.3,5
779,9.8,0.52,92.0,0.03,5
780,9.4,0.57,45.0,0.0,6
781,9.8,0.46,37.0,0.14,5
782,10.0,0.82,96.0,0.05,5
783,9.8,0.46,37.0,0.14,5
784,9.8,0.59,85.0,0.01,5
785,9.5,0.35,61.0,0.41,5
786,9.5,0.35,61.0,0.41,5
787,10.1,0.56,58.0,0.24,6
788,10.1,0.56,58.0,0.24,6
789,9.3,0.63,119.0,0.17,5
790,9.7,0.37,82.0,0.43,6
791,9.6,0.64,130.0,0.17,5
792,9.7,0.61,87.0,0.02,6
793,10.8,0.6,13.0,0.0,5
794,12.5,0.27,26.0,0.54,6
795,10.2,0.89,60.0,0.3,5
796,9.6,0.46,64.0,0.31,5
797,10.8,0.37,42.0,0.44,7
798,10.7,0.5,14.0,0.34,6
799,10.7,0.5,14.0,0.34,6
800,9.4,0.61,108.0,0.08,5
801,10.0,0.55,17.0,0.09,5
802,12.9,0.585,86.0,0.0,7
803,9.6,0.56,46.0,0.08,6
804,9.9,0.52,18.0,0.22,6
805,12.8,0.28,10.0,0.4,7
806,12.5,0.25,10.0,0.39,7
807,12.8,0.28,10.0,0.4,7
808,9.2,0.53,12.0,0.12,5
809,10.3,0.48,15.0,0.31,6
810,10.5,0.49,14.0,0.1,5
811,10.9,0.5,24.0,0.55,6
812,10.8,0.45,38.0,0.33,5
813,11.4,0.39,7.0,0.24,4
814,11.3,0.41,41.0,0.54,6
815,10.8,0.45,38.0,0.33,5
816,10.5,0.51,30.0,0.19,6
817,11.9,0.29,27.0,0.42,6
818,9.4,0.715,47.0,0.0,5
819,9.6,0.66,59.0,0.15,5
820,9.7,0.685,22.0,0.0,5
821,14.0,0.42,42.0,0.0,7
822,9.8,0.54,36.0,0.13,5
823,9.8,0.54,36.0,0.13,5
824,10.3,0.48,16.0,0.28,5
825,10.7,0.46,37.0,0.14,5
826,11.0,0.27,8.0,0.34,7
827,10.7,0.46,37.0,0.14,5
828,12.7,0.57,45.0,0.09,8
829,11.1,0.61,24.0,0.08,6
830,10.9,0.685,9.0,0.07,4
831,11.1,0.61,24.0,0.08,6
832,9.9,0.44,48.0,0.42,3
833,9.9,0.47,51.0,0.44,4
834,9.4,0.685,23.0,0.26,5
835,9.3,0.665,55.0,0.1,5
836,11.7,0.28,100.0,0.28,7
837,11.7,0.28,100.0,0.28,7
838,11.2,0.31,28.0,0.35,7
839,10.0,0.5,26.0,0.04,5
840,12.1,0.42,34.0,0.47,7
841,10.3,0.66,31.0,0.0,5
842,10.9,0.5,68.0,0.45,6
843,9.4,0.685,92.0,0.35,5
844,10.6,0.25,42.0,0.46,6
845,9.8,0.64,31.0,0.21,5
846,9.8,0.64,31.0,0.21,5
847,9.9,0.68,39.0,0.16,6
848,9.8,0.64,31.0,0.21,5
849,9.8,0.63,32.0,0.21,5
850,9.5,0.43,22.0,0.44,5
851,9.5,0.43,22.0,0.44,5
852,9.7,0.42,122.0,0.32,5
853,10.9,0.36,55.0,0.39,6
854,10.9,0.36,55.0,0.39,6
855,11.7,0.735,14.0,0.02,7
856,10.9,0.36,55.0,0.39,6
857,11.3,0.26,47.0,0.34,7
858,10.6,0.28,32.0,0.47,7
859,11.2,0.56,24.0,0.22,6
860,9.5,0.62,85.0,0.06,5
861,11.5,1.01,88.0,0.66,6
862,10.4,0.42,25.0,0.32,5
863,9.7,0.62,84.0,0.06,5
864,9.5,0.62,85.0,0.06,5
865,9.7,0.635,86.0,0.07,5
866,11.3,0.49,24.0,0.22,6
867,11.2,0.51,22.0,0.23,6
868,11.2,0.56,24.0,0.22,6
869,10.9,0.63,43.0,0.03,6
870,11.8,0.715,43.0,0.01,6
871,10.6,0.56,46.0,0.03,5
872,10.0,0.35,48.0,0.24,4
873,11.1,0.21,10.0,0.37,7
874,11.8,0.38,10.0,0.46,7
875,11.8,0.31,16.0,0.4,7
876,10.9,0.47,14.0,0.0,4
877,11.8,0.715,43.0,0.01,6
878,10.0,0.61,69.0,0.19,6
879,9.5,0.6,88.0,0.04,5
880,9.9,0.56,21.0,0.18,5
881,11.4,0.715,35.0,0.0,6
882,12.0,0.31,26.0,0.29,6
883,9.5,0.6,88.0,0.04,5
884,10.0,0.61,69.0,0.19,6
885,10.5,0.75,30.0,0.14,5
886,10.4,0.8,28.0,0.12,6
887,12.1,0.52,56.0,0.38,7
888,11.2,0.57,64.0,0.0,6
889,9.3,0.9,99.0,0.34,5
890,10.1,0.34,52.0,0.24,5
891,9.7,0.66,86.0,0.03,5
892,9.3,0.45,18.0,0.23,6
893,9.7,0.66,86.0,0.03,5
894,9.8,0.63,88.0,0.03,6
895,10.7,0.59,43.0,0.01,6
896,12.5,0.31,43.0,0.39,7
897,10.7,0.59,43.0,0.01,6
898,12.5,0.31,43.0,0.39,7
899,11.0,1.02,11.0,0.02,3
900,11.8,0.31,39.0,0.36,5
901,10.8,0.635,33.0,0.1,7
902,10.8,0.635,33.0,0.1,7
903,10.8,0.59,18.0,0.06,7
904,10.8,0.59,18.0,0.06,7
905,9.5,0.58,115.0,0.2,5
906,11.0,0.54,78.0,0.27,5
907,11.5,0.56,9.0,0.0,6
908,10.8,0.52,61.0,0.13,6
909,11.5,0.305,11.0,0.39,6
910,13.2,0.38,11.0,0.48,6
911,10.9,0.28,9.0,0.46,6
912,12.2,0.46,8.0,0.44,6
913,12.2,0.395,10.0,0.46,7
914,11.5,0.305,11.0,0.39,6
915,11.9,0.315,6.0,0.4,6
916,11.0,0.715,62.0,0.19,5
917,10.1,0.41,45.0,0.31,6
918,11.0,0.36,79.0,0.32,6
919,11.8,0.62,46.0,0.12,6
920,10.5,0.41,23.0,0.37,5
921,11.0,0.36,79.0,0.32,6
922,11.8,0.62,46.0,0.12,6
923,10.1,0.41,45.0,0.31,6
924,11.2,0.47,28.0,0.27,5
925,11.0,0.22,77.0,0.36,7
926,10.2,0.24,73.0,0.33,6
927,9.2,0.67,75.0,0.19,4
928,11.2,0.47,28.0,0.27,5
929,12.0,0.33,19.0,0.38,7
930,10.5,0.61,25.0,0.01,5
931,9.8,0.61,38.0,0.01,5
932,9.5,0.4,66.0,0.29,6
933,9.8,0.61,38.0,0.01,5
934,10.5,0.61,25.0,0.01,5
935,11.8,0.3,72.0,0.38,6
936,11.8,0.3,72.0,0.38,6
937,10.4,0.63,26.0,0.5,4
938,12.9,0.38,42.0,0.38,7
939,11.4,0.46,11.0,0.17,5
940,12.4,0.33,25.0,0.52,7
941,12.5,0.27,17.0,0.49,7
942,10.0,0.43,52.0,0.4,7
943,9.7,0.5,45.0,0.34,7
944,12.1,0.3,24.0,0.49,7
945,11.1,0.44,20.0,0.42,7
946,12.0,0.44,24.0,0.58,7
947,12.4,0.28,12.0,0.48,7
948,11.9,0.12,21.0,0.45,7
949,11.9,0.12,21.0,0.45,7
950,11.9,0.12,21.0,0.45,7
951,12.4,0.28,12.0,0.48,7
952,11.2,0.31,10.0,0.4,7
953,12.1,0.34,9.0,0.48,7
954,12.2,0.43,11.0,0.4,6
955,10.4,0.21,23.0,0.52,5
956,11.3,0.36,10.0,0.52,6
957,11.1,0.37,51.0,0.52,6
958,11.3,0.57,36.0,0.12,7
959,10.0,0.59,32.0,0.05,5
960,11.1,0.47,38.0,0.27,6
961,9.3,0.56,18.0,0.14,5
962,9.5,0.57,16.0,0.02,5
963,11.2,0.27,27.0,0.39,6
964,11.1,0.47,38.0,0.27,6
965,11.0,0.34,48.0,0.4,6
966,11.9,0.38,10.0,0.41,7
967,9.2,0.66,113.0,0.2,5
968,12.2,0.4,46.0,0.43,6
969,10.2,0.56,22.0,0.09,5
970,10.9,0.26,10.0,0.48,6
971,10.9,0.26,10.0,0.48,6
972,11.6,0.38,13.0,0.5,7
973,10.7,0.34,12.0,0.44,5
974,12.1,0.33,13.0,0.41,7
975,9.4,0.41,72.0,0.3,5
976,9.4,0.41,72.0,0.3,5
977,9.1,0.59,119.0,0.29,5
978,11.3,0.4,29.0,0.32,7
979,10.4,0.45,6.0,0.49,5
980,10.5,0.5,17.0,0.3,6
981,10.0,0.86,28.0,0.26,5
982,12.9,0.52,70.0,0.32,6
983,10.5,0.5,17.0,0.3,6
984,10.4,0.45,6.0,0.49,5
985,11.3,0.58,11.0,0.0,6
986,11.4,0.34,7.0,0.39,7
987,9.4,0.36,70.0,0.3,5
988,9.4,0.39,27.0,0.12,5
989,10.9,0.295,21.0,0.4,6
990,9.4,0.39,27.0,0.12,5
991,9.4,0.34,68.0,0.28,5
992,9.4,0.4,47.0,0.1,6
993,9.4,0.34,68.0,0.28,5
994,9.4,0.35,88.0,0.45,5
995,10.1,0.6,41.0,0.06,6
996,12.8,0.66,11.0,0.0,7
997,12.8,0.66,11.0,0.0,7
998,9.1,0.84,10.0,0.34,6
999,12.9,0.69,12.0,0.0,6
1000,11.5,0.43,12.0,0.3,7
1001,10.6,0.35,47.0,0.38,7
1002,11.7,0.29,27.0,0.33,7
1003,12.8,0.36,8.0,0.32,7
1004,10.3,0.43,45.0,0.29,5
1005,12.8,0.36,8.0,0.32,7
1006,11.7,0.29,27.0,0.33,7
1007,11.7,0.3,25.0,0.34,7
1008,12.0,0.35,24.0,0.4,7
1009,10.9,0.5,55.0,0.36,5
1010,12.3,0.28,12.0,0.45,7
1011,10.4,0.32,19.0,0.31,6
1012,10.0,1.005,32.0,0.15,5
1013,10.0,0.71,31.0,0.0,6
1014,11.2,0.58,7.0,0.16,6
1015,11.4,0.39,27.0,0.46,6
1016,12.6,0.38,28.0,0.4,7
1017,12.7,0.18,109.0,0.37,6
1018,12.7,0.18,109.0,0.37,6
1019,10.4,0.5,23.0,0.14,5
1020,11.9,0.36,8.0,0.66,6
1021,11.9,0.36,8.0,0.66,6
1022,10.5,0.51,9.0,0.09,5
1023,12.3,0.32,9.0,0.42,6
1024,10.5,0.58,18.0,0.01,7
1025,10.4,0.83,43.0,0.0,6
1026,12.6,0.31,36.0,0.32,6
1027,11.6,0.795,52.0,0.0,5
1028,10.1,0.34,68.0,0.21,6
1029,10.5,0.58,18.0,0.01,7
1030,11.5,0.59,14.0,0.0,7
1031,11.0,0.55,15.0,0.01,7
1032,9.6,0.82,14.0,0.0,5
1033,10.4,0.57,27.0,0.08,6
1034,9.7,0.745,48.0,0.18,6
1035,10.6,0.37,17.0,0.34,7
1036,12.5,0.31,35.0,0.34,7
1037,9.2,0.91,56.0,0.1,5
1038,12.6,0.41,42.0,0.41,7
1039,11.1,0.5,39.0,0.21,6
1040,10.2,0.965,32.0,0.0,5
1041,9.8,0.49,26.0,0.19,6
1042,11.1,0.5,39.0,0.21,6
1043,10.9,0.39,39.0,0.41,7
1044,12.2,0.39,53.0,0.33,6
1045,11.4,0.44,38.0,0.0,6
1046,10.7,0.78,45.0,0.0,6
1047,10.4,0.43,51.0,0.17,5
1048,10.9,0.49,14.0,0.36,6
1049,10.8,0.5,17.0,0.36,6
1050,10.4,0.43,51.0,0.17,5
1051,9.2,0.46,45.0,0.59,5
1052,12.9,0.605,25.0,0.05,5
1053,12.7,0.33,20.0,0.42,7
1054,9.1,0.64,77.0,0.27,6
1055,9.1,0.64,77.0,0.27,6
1056,12.1,0.48,10.0,0.53,7
1057,9.1,0.42,90.0,0.25,5
1058,11.6,0.53,52.0,0.57,7
1059,12.1,0.48,10.0,0.53,7
1060,9.9,0.23,8.0,0.57,6
1061,12.5,0.4,16.0,0.5,8
1062,11.4,0.38,15.0,0.44,6
1063,11.8,0.29,17.0,0.65,6
1064,11.8,0.74,10.0,0.09,6
1065,10.2,0.61,20.0,0.18,6
1066,12.5,0.52,26.0,0.08,7
1067,10.9,0.31,10.0,0.53,7
1068,10.9,0.31,10.0,0.53,7
1069,10.8,0.62,52.0,0.35,5
1070,11.1,0.33,37.0,0.45,7
1071,9.2,0.77,92.0,0.2,5
1072,9.5,0.35,75.0,0.26,6
1073,10.7,0.62,37.0,0.33,6
1074,9.2,0.77,92.0,0.2,5
1075,10.2,0.25,67.0,0.34,7
1076,11.4,0.32,8.0,0.56,6
1077,11.0,0.37,8.0,0.65,5
1078,11.0,0.37,8.0,0.65,5
1079,12.3,0.3,278.0,0.68,7
1080,11.8,0.27,8.0,0.56,6
1081,12.3,0.3,289.0,0.68,7
1082,9.5,0.38,70.0,0.3,6
1083,12.0,0.42,59.0,0.45,6
1084,9.5,0.38,70.0,0.3,6
1085,9.6,0.48,64.0,0.08,5
1086,11.6,0.34,9.0,0.4,7
1087,11.2,0.19,30.0,0.42,6
1088,9.9,0.41,41.0,0.54,7
1089,9.9,0.41,41.0,0.54,7
1090,11.8,0.26,74.0,0.54,8
1091,11.4,0.34,19.0,0.42,6
1092,11.5,0.54,16.0,0.09,6
1093,12.0,0.31,31.0,0.36,7
1094,10.8,0.725,17.0,0.09,6
1095,10.5,0.4,20.0,0.47,5
1096,10.8,0.725,17.0,0.09,6
1097,9.4,0.52,18.0,0.38,5
1098,12.5,0.31,16.0,0.45,7
1099,9.4,0.52,18.0,0.38,5
1100,12.4,0.34,36.0,0.42,6
1101,12.0,0.49,25.0,0.27,6
1102,11.2,0.48,30.0,0.09,6
1103,12.0,0.49,25.0,0.27,6
1104,12.4,0.48,25.0,0.34,6
1105,12.8,0.57,49.0,0.28,5
1106,12.3,0.23,17.0,0.42,6
1107,11.7,0.3,24.0,0.41,7
1108,9.5,0.78,13.0,0.1,5
1109,10.8,0.47,66.0,0.43,6
1110,10.0,0.53,14.0,0.0,6
1111,12.3,0.42,55.0,0.27,7
1112,11.0,0.33,35.0,0.41,6
1113,9.5,0.24,10.0,0.39,6
1114,13.6,0.4,80.0,0.5,6
1115,11.3,0.69,21.0,0.07,6
1116,11.3,0.69,21.0,0.07,6
1117,11.3,0.69,21.0,0.07,6
1118,13.3,0.39,24.0,0.12,6
1119,12.9,0.66,15.0,0.0,5
1120,13.1,0.54,17.0,0.34,8
1121,12.3,0.5,28.0,0.0,6
1122,12.3,0.47,33.0,0.0,6
1123,11.2,0.4,29.0,0.37,6
1124,11.5,0.58,13.0,0.0,4
1125,11.3,0.24,27.0,0.35,7
1126,13.5,0.29,11.0,0.26,6
1127,11.5,0.76,52.0,0.0,6
1128,10.0,0.43,89.0,0.33,5
1129,10.5,0.43,70.0,0.35,6
1130,10.4,0.6,10.0,0.0,6
1131,9.5,0.19,135.0,0.21,5
1132,13.6,0.36,38.0,0.34,7
1133,11.2,0.48,18.0,0.07,7
1134,11.8,0.28,15.0,0.35,7
1135,11.9,0.25,50.0,0.43,6
1136,11.4,0.52,13.0,0.45,6
1137,11.4,0.52,13.0,0.45,6
1138,9.1,0.41,94.0,0.15,5
1139,9.5,0.51,86.0,0.24,6
1140,9.5,0.4,79.0,0.3,6
1141,11.0,0.38,71.0,0.32,6
1142,11.4,0.45,12.0,0.11,6
1143,10.0,0.22,20.0,0.3,6
1144,10.1,0.32,70.0,0.23,5
1145,10.4,0.2,51.0,0.43,6
1146,9.8,0.5,21.0,0.12,6
1147,11.8,0.41,14.0,0.45,7
1148,11.6,0.39,21.0,0.42,6
1149,12.0,0.35,11.0,0.47,6
1150,12.8,0.33,12.0,0.32,7
1151,12.5,0.58,70.0,0.23,6
1152,9.8,0.6,38.0,0.25,5
1153,11.1,0.42,38.0,0.35,6
1154,11.4,0.58,63.0,0.0,6
1155,9.8,0.6,38.0,0.25,5
1156,11.8,0.18,88.0,0.51,7
1157,12.9,0.51,101.0,0.18,7
1158,10.6,0.41,54.0,0.43,6
1159,10.8,0.41,37.0,0.43,5
1160,11.1,0.36,20.0,0.57,7
1161,10.2,0.45,21.0,0.43,6
1162,11.8,0.32,19.0,0.42,7
1163,10.0,0.785,21.0,0.24,5
1164,10.0,0.785,21.0,0.24,5
1165,9.4,0.44,38.0,0.5,5
1166,10.2,0.54,60.0,0.26,5
1167,12.4,0.33,48.0,0.39,7
1168,12.0,0.34,44.0,0.27,6
1169,11.5,0.5,14.0,0.29,6
1170,10.5,0.36,12.0,0.34,6
1171,10.8,0.59,44.0,0.0,6
1172,12.3,0.42,16.0,0.46,6
1173,9.5,0.36,65.0,0.31,6
1174,9.5,0.36,65.0,0.31,6
1175,11.5,0.61,59.0,0.0,6
1176,11.2,0.88,47.0,0.03,4
1177,12.7,0.66,11.0,0.0,7
1178,11.4,0.915,78.0,0.0,5
1179,11.0,0.35,47.0,0.33,6
1180,11.0,0.35,47.0,0.33,6
1181,11.4,0.39,11.0,0.43,5
1182,10.5,0.4,54.0,0.4,6
1183,9.3,0.66,61.0,0.07,5
1184,10.9,0.64,119.0,0.23,5
1185,11.9,0.43,39.0,0.3,6
1186,12.2,0.8,12.0,0.03,5
1187,11.9,0.43,39.0,0.3,6
1188,10.9,0.64,119.0,0.23,5
1189,9.6,0.955,19.0,0.05,4
1190,12.5,0.4,20.0,0.57,6
1191,10.8,0.885,12.0,0.0,5
1192,12.4,0.25,41.0,0.37,7
1193,10.8,0.885,12.0,0.0,5
1194,9.5,0.745,64.0,0.12,6
1195,9.5,0.43,56.0,0.22,6
1196,9.5,0.58,94.0,0.23,6
1197,9.8,0.57,9.0,0.21,6
1198,10.9,0.26,77.0,0.26,6
1199,9.5,0.58,94.0,0.23,6
1200,9.8,0.57,9.0,0.21,6
1201,11.2,0.34,10.0,0.36,7
1202,11.7,0.42,12.0,0.39,8
1203,9.4,0.74,76.0,0.19,5
1204,11.0,0.36,44.0,0.46,7
1205,11.0,0.36,44.0,0.46,7
1206,11.0,0.36,44.0,0.46,7
1207,10.0,0.72,52.0,0.55,5
1208,11.0,0.36,44.0,0.46,7
1209,11.2,0.39,24.0,0.43,7
1210,10.4,0.65,15.0,0.02,6
1211,9.3,0.44,53.0,0.15,5
1212,10.4,0.65,15.0,0.02,6
1213,10.5,0.38,13.0,0.42,6
1214,10.4,0.33,9.0,0.46,6
1215,11.3,0.27,29.0,0.46,6
1216,9.5,0.57,79.0,0.31,6
1217,12.0,0.34,74.0,0.37,6
1218,10.6,0.4,24.0,0.31,6
1219,10.9,0.39,50.0,0.4,6
1220,11.5,0.32,44.0,0.52,6
1221,11.5,0.32,44.0,0.52,6
1222,9.6,0.53,89.0,0.22,6
1223,12.0,0.36,23.0,0.47,6
1224,10.3,0.39,20.0,0.49,6
1225,9.4,0.46,77.0,0.23,5
1226,9.2,0.58,46.0,0.03,5
1227,9.6,0.58,21.0,0.25,5
1228,13.6,0.42,88.0,0.0,7
1229,9.5,0.43,66.0,0.29,5
1230,11.8,0.18,58.0,0.34,6
1231,10.8,0.815,90.0,0.01,5
1232,9.5,0.43,66.0,0.29,5
1233,9.3,0.23,36.0,0.37,4
1234,12.8,0.75,18.0,0.01,6
1235,11.5,0.33,113.0,0.32,4
1236,9.4,0.55,17.0,0.0,6
1237,12.8,0.75,18.0,0.01,6
1238,9.6,0.73,24.0,0.0,4
1239,11.8,0.67,20.0,0.0,4
1240,9.3,0.61,60.0,0.2,5
1241,9.8,0.37,65.0,0.39,5
1242,12.2,0.4,40.0,0.41,6
1243,9.5,0.56,86.0,0.22,5
1244,10.3,0.29,160.0,0.25,6
1245,10.5,0.55,34.0,0.19,5
1246,10.0,0.74,48.0,0.07,5
1247,10.5,0.55,34.0,0.19,5
1248,11.1,0.41,36.0,0.33,6
1249,10.9,0.6,37.0,0.01,6
1250,10.9,0.6,37.0,0.01,6
1251,9.8,0.58,60.0,0.14,5
1252,9.8,0.72,14.0,0.0,5
1253,9.5,0.66,13.0,0.0,5
1254,10.9,0.7,35.0,0.06,5
1255,11.0,0.64,46.0,0.02,5
1256,9.2,0.59,60.0,0.22,5
1257,11.0,0.58,69.0,0.28,6
1258,11.3,0.64,33.0,0.0,6
1259,11.3,0.64,33.0,0.0,6
1260,9.3,0.635,56.0,0.68,5
1261,11.2,1.02,24.0,0.0,4
1262,9.8,0.45,66.0,0.38,5
1263,9.6,0.78,26.0,0.0,4
1264,11.8,0.37,51.0,0.32,6
1265,10.3,0.57,36.0,0.05,6
1266,10.3,0.57,36.0,0.05,6
1267,11.4,0.43,19.0,0.5,6
1268,9.5,0.41,51.0,0.31,6
1269,14.0,0.49,87.0,0.03,8
1270,14.0,0.38,60.0,0.01,6
1271,11.7,0.44,64.0,0.2,6
1272,11.2,0.46,44.0,0.0,5
1273,9.3,0.58,44.0,0.2,5
1274,11.2,0.58,36.0,0.13,6
1275,9.5,0.715,81.0,0.22,6
1276,12.0,0.4,10.0,0.4,4
1277,9.7,0.69,10.0,0.0,6
1278,9.5,0.715,81.0,0.22,6
1279,11.5,0.3,9.0,0.39,7
1280,10.4,0.46,54.0,0.2,6
1281,10.4,0.46,54.0,0.2,6
1282,10.9,0.765,22.0,0.0,6
1283,10.2,0.63,69.0,0.28,6
1284,10.9,0.42,36.0,0.19,5
1285,10.5,0.37,47.0,0.5,5
1286,12.4,0.16,31.0,0.44,6
1287,13.0,0.6,7.0,0.08,5
1288,10.2,0.6,110.0,0.3,5
1289,10.2,0.6,110.0,0.3,5
1290,11.0,0.74,12.0,0.0,5
1291,10.9,0.635,60.0,0.1,6
1292,12.4,0.395,28.0,0.13,6
1293,9.7,0.755,12.0,0.0,4
1294,10.9,0.635,60.0,0.1,6
1295,9.5,0.63,77.5,0.0,5
1296,9.5,0.63,77.5,0.0,5
1297,12.1,0.53,29.0,0.14,6
1298,12.2,0.6,18.0,0.0,6
1299,10.9,1.58,9.0,0.0,3
1300,12.5,0.645,28.0,0.0,6
1301,11.7,0.86,57.0,0.07,6
1302,11.2,0.37,15.0,0.32,6
1303,11.2,0.28,68.0,0.44,5
1304,9.2,0.79,68.0,0.21,5
1305,9.8,0.61,88.0,0.26,5
1306,10.1,0.69,91.0,0.32,5
1307,11.1,0.68,29.0,0.09,4
1308,10.1,0.69,91.0,0.32,5
1309,9.2,0.62,63.0,0.1,5
1310,9.8,0.61,88.0,0.26,5
1311,12.8,0.51,27.0,0.15,6
1312,10.5,1.18,41.0,0.21,5
1313,10.1,0.36,65.0,0.21,6
1314,10.1,0.36,69.0,0.21,6
1315,9.8,0.63,91.0,0.27,6
1316,12.5,0.74,46.0,0.0,6
1317,11.9,0.44,41.0,0.46,6
1318,9.8,0.63,91.0,0.27,6
1319,9.1,0.76,64.0,0.68,6
1320,10.1,0.66,88.0,0.34,5
1321,12.5,0.74,46.0,0.0,6
1322,11.4,0.34,18.0,0.42,5
1323,11.0,0.36,55.0,0.39,7
1324,10.6,0.46,34.0,0.24,6
1325,10.6,0.46,34.0,0.24,6
1326,10.6,0.46,34.0,0.24,6
1327,10.6,0.46,34.0,0.24,6
1328,9.3,0.52,38.0,0.11,5
1329,9.8,0.6,91.0,0.26,6
1330,9.8,0.6,91.0,0.26,6
1331,9.2,0.87,67.0,0.26,5
1332,9.7,0.39,25.0,0.1,6
1333,9.6,0.775,48.0,0.22,5
1334,10.0,0.835,11.0,0.0,5
1335,12.6,0.58,40.0,0.02,6
1336,9.5,0.5,26.0,0.0,5
1337,9.5,0.5,26.0,0.0,5
1338,9.5,0.5,26.0,0.0,5
1339,10.5,0.51,31.0,0.02,6
1340,10.5,0.51,31.0,0.02,6
1341,10.5,0.51,31.0,0.02,6
1342,10.4,0.54,31.0,0.02,6
1343,10.5,0.51,31.0,0.02,6
1344,11.0,0.42,20.0,0.48,5
1345,10.2,0.44,28.0,0.24,6
1346,11.4,0.59,13.0,0.01,5
1347,9.5,0.655,12.0,0.03,5
1348,9.5,0.655,12.0,0.03,5
1349,10.8,0.57,41.0,0.0,5
1350,10.0,0.6,73.0,0.29,5
1351,11.8,0.62,46.0,0.01,6
1352,10.3,0.645,57.0,0.03,5
1353,10.3,0.645,57.0,0.03,5
1354,10.0,0.58,28.0,0.03,5
1355,10.1,0.32,32.0,0.25,5
1356,10.1,0.34,28.0,0.25,5
1357,11.1,0.43,67.0,0.24,6
1358,9.5,0.64,98.0,0.17,5
1359,10.0333333333333,0.475,28.0,0.4,6
1360,10.9,0.54,38.0,0.31,5
1361,10.1,0.85,54.0,0.14,5
1362,10.0333333333333,0.475,28.0,0.4,6
1363,9.8,0.83,63.0,0.27,4
1364,11.8,0.605,31.0,0.02,6
1365,9.5,0.5,42.0,0.09,5
1366,9.8,0.74,45.0,0.08,5
1367,10.5,0.54,105.0,0.3,6
1368,9.8,0.77,74.0,0.32,6
1369,10.4,0.61,8.0,0.0,4
1370,9.2,0.78,66.0,0.51,5
1371,11.6,0.58,14.0,0.56,6
1372,9.2,0.78,66.0,0.51,5
1373,9.3,0.75,89.0,0.27,5
1374,9.8,0.815,29.0,0.0,3
